"","x","y","total_counts"
"16.047x22.132",16.047,22.132,33340
"15.028x22.055",15.028,22.055,10587
"12.091x22.103",12.091,22.103,18494
"10.908x22.093",10.908,22.093,28578
"12.104x23.073",12.104,23.073,28545
"15.037x23.003",15.037,23.003,26370
"13.018x23.006",13.018,23.006,20329
"14.06x23.002",14.06,23.002,25449
"25.082x21.054",25.082,21.054,31619
"26.076x21.03",26.076,21.03,29675
"27.078x21.025",27.078,21.025,26924
"21.016x21.023",21.016,21.023,45763
"21.949x21.039",21.949,21.039,38574
"23.16x21.089",23.16,21.089,64394
"24.13x21.069",24.13,21.069,34481
"17.988x21.061",17.988,21.061,27352
"19.011x21.044",19.011,21.044,21334
"20.069x21.094",20.069,21.094,55984
"23.077x11.112",23.077,11.112,24159
"24.087x11.075",24.087,11.075,13573
"21.926x11.038",21.926,11.038,23703
"20.93x11.007",20.93,11.007,16924
"20.063x11.042",20.063,11.042,9104
"18.93x11.054",18.93,11.054,13692
"17.984x11.083",17.984,11.083,17410
"25.03x11.1",25.03,11.1,8319
"26.991x13.041",26.991,13.041,6720
"27.997x14.034",27.997,14.034,12712
"27.034x15.057",27.034,15.057,17101
"27.966x15.165",27.966,15.165,11591
"27.06x14.035",27.06,14.035,17804
"27.011x17.187",27.011,17.187,21874
"28.04x17.062",28.04,17.062,19515
"27.018x16.042",27.018,16.042,17837
"28.004x16.037",28.004,16.037,16652
"28.016x19.075",28.016,19.075,17542
"27.041x19.066",27.041,19.066,29049
"26.99x18.059",26.99,18.059,31674
"28.047x18.055",28.047,18.055,24412
"26.108x22.063",26.108,22.063,27263
"25.084x22.07",25.084,22.07,24352
"26.147x22.981",26.147,22.981,37303
"25.146x22.992",25.146,22.992,59507
"21.931x22.121",21.931,22.121,61033
"21.074x22.101",21.074,22.101,43930
"23.144x22.097",23.144,22.097,53907
"24.114x22.074",24.114,22.074,23443
"19.032x22.087",19.032,22.087,25986
"20.043x22.146",20.043,22.146,24516
"20.038x22.966",20.038,22.966,20051
"19.031x22.942",19.031,22.942,25285
"24.099x23.018",24.099,23.018,39802
"23.137x23.03",23.137,23.03,36473
"21.027x22.938",21.027,22.938,31851
"21.978x23.005",21.978,23.005,43184
"20.089x24.006",20.089,24.006,22705
"24.146x24.011",24.146,24.011,19042
"23.124x24.046",23.124,24.046,28597
"21.01x23.944",21.01,23.944,25461
"22.053x23.962",22.053,23.962,27158
"27.018x20.088",27.018,20.088,16712
"17.964x10.137",17.964,10.137,30509
